DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,Raffles,DrawNumber
24-Sep-2014,33,48,29,38,8,4,15,7,Lancelot,"AQUA03458530,AQUA18564498,AQUA22968945,AQUA54037140,BLUE55881976,BLUE68291513,BLUE70963098,GOLD07356781,GOLD09526861,GOLD21431338,GOLD34125411,GOLD34560638,GOLD53537621,GOLD58047130,GOLD73467419,GOLD80671058,GOLD82890365,GREY22848069,GREY51045469,GREY56518397,GREY72260767,GREY89667877,JADE51820778,JADE62204499,JADE73111235,JADE89177961,LIME09998086,LIME35431089,LIME57433380,LIME70120543,LIME89451801,NAVY08969774,NAVY15153685,NAVY68449298,NAVY74373885,PINK16169380,PINK35253806,PLUM70473681,PLUM78288612,ROSE34518710,ROSE47744998,ROSE52406121,ROSE64944336,RUBY50830366,RUBY77381787,RUBY99802938,TEAL02226790,TEAL10992564,TEAL50393411,TEAL62165240",1957
20-Sep-2014,22,6,26,2,33,48,43,5,Lancelot,"AQUA09814096,AQUA68056512,BLUE17517123,BLUE35917154,BLUE46038417,BLUE50107657,BLUE59828961,BLUE70174923,BLUE96695964,GOLD07529460,GOLD08333744,GOLD10096634,GOLD48716246,GOLD50922185,GOLD90107813,GOLD90808417,GREY09705637,GREY14969195,GREY18590588,GREY21064594,GREY23769492,GREY26105383,JADE48011180,NAVY38735368,NAVY39431152,NAVY72646883,NAVY76289942,NAVY87945798,NAVY91372293,NAVY92164679,PINK13086819,PINK19747706,PINK80761048,PLUM00769202,ROSE52790438,ROSE62181676,ROSE65145733,ROSE73848509,ROSE82219284,ROSE84910814,RUBY08427791,RUBY11836138,RUBY23617180,RUBY42424906,RUBY67682784,TEAL11248414,TEAL12810491,TEAL41069269,TEAL48161664,TEAL74250185",1956
17-Sep-2014,34,9,41,19,46,22,6,2,Guinevere,"AQUA08901210,AQUA09260499,AQUA24264007,AQUA25652270,AQUA26201620,AQUA29346523,AQUA30471361,AQUA33599817,AQUA39150191,AQUA39722251,AQUA47725282,AQUA57835764,AQUA58337457,AQUA59800396,AQUA62517921,AQUA63164287,AQUA63471760,AQUA65576868,AQUA71945580,AQUA86034986,AQUA86251503,AQUA92007870,AQUA95739660,AQUA97177139,BLUE06959043,BLUE09913742,BLUE18036149,BLUE19216590,BLUE19393885,BLUE25982099,BLUE42106066,BLUE46486024,BLUE49407775,BLUE50418175,BLUE54966743,BLUE59910861,BLUE64688050,BLUE69615384,BLUE80713901,BLUE85364956,BLUE86595732,BLUE94578132,BLUE94989435,BLUE95843146,BLUE96931497,GOLD06030247,GOLD11529743,GOLD14055421,GOLD22567186,GOLD27273482,GOLD46109997,GOLD51504316,GOLD52538129,GOLD56398309,GOLD57049843,GOLD63082682,GOLD68290715,GOLD85827961,GOLD91605240,GOLD92960039,GOLD93010271,GOLD94412197,GOLD99011335,GREY02058633,GREY04872001,GREY10284845,GREY11769118,GREY12558723,GREY16838575,GREY23755873,GREY27162003,GREY27836313,GREY28026588,GREY31973904,GREY33242254,GREY35153021,GREY38620348,GREY39045279,GREY63545069,GREY67859499,GREY68255457,GREY74580292,GREY77053702,GREY82780001,GREY90057468,GREY93075143,GREY93758523,GREY95213725,GREY97320933,GREY98848304,JADE03550155,JADE06653656,JADE07008230,JADE17940063,JADE24141748,JADE29598260,JADE39644959,JADE39736952,JADE40419665,JADE41925388,JADE44904258,JADE51433004,JADE53274285,JADE56126908,JADE58852666,JADE59537459,JADE66697051,JADE67502999,JADE78082264,JADE85741585,JADE90813696,JADE92787770,JADE95094715,JADE97444639,JADE97943156,LIME13556895,LIME14957629,LIME17087698,LIME22028175,LIME22837042,LIME26612437,LIME49247880,LIME56788509,LIME64674320,LIME69069615,LIME74737443,LIME80483295,LIME82985034,LIME86331264,LIME93954503,LIME98415939,NAVY03713010,NAVY07267909,NAVY10594752,NAVY16359304,NAVY31952738,NAVY32913458,NAVY35683035,NAVY37428444,NAVY47687930,NAVY47771649,NAVY48724829,NAVY51862352,NAVY53381905,NAVY57960771,NAVY61962081,NAVY62537276,NAVY64602535,NAVY67111663,NAVY69981922,NAVY72835209,NAVY77964531,NAVY79485013,NAVY85656540,PINK04495502,PINK06177056,PINK09992191,PINK12452997,PINK19280888,PINK19384733,PINK26283569,PINK43018091,PINK55610728,PINK59278769,PINK65169897,PINK69126269,PINK78966382,PINK87673224,PINK91584983,PINK94155770,PINK94883276,PINK96229411,PINK99350160,PLUM09503653,PLUM16250561,PLUM18310117,PLUM25794393,PLUM41850457,PLUM45369102,PLUM52096152,PLUM54959820,PLUM60398122,PLUM66044086,PLUM67635009,PLUM67840747,PLUM68279138,PLUM73599019,PLUM78543878,PLUM82275933,PLUM82419846,PLUM82964549,PLUM87640489,PLUM98343768,ROSE01710541,ROSE05325216,ROSE06610823,ROSE17129349,ROSE22981181,ROSE23237228,ROSE24045917,ROSE31791790,ROSE31945292,ROSE36820500,ROSE37734504,ROSE46468733,ROSE47947993,ROSE50162986,ROSE61630854,ROSE66597708,ROSE67026499,ROSE73044228,ROSE83134366,ROSE89890174,ROSE90875550,ROSE94100869,RUBY09498054,RUBY19311912,RUBY23169394,RUBY28385592,RUBY28974563,RUBY41464389,RUBY51312273,RUBY53116692,RUBY71285390,RUBY77060684,RUBY77983521,RUBY78797951,RUBY79475664,RUBY82617722,RUBY89711104,RUBY93995019,RUBY99720324,TEAL03383361,TEAL04358280,TEAL13428978,TEAL14383154,TEAL15661604,TEAL16583928,TEAL17145570,TEAL36021323,TEAL37157967,TEAL40635075,TEAL43067004,TEAL52172949,TEAL56879566,TEAL58310258,TEAL58878635,TEAL60546741,TEAL82883770,TEAL86865795",1955
13-Sep-2014,30,29,12,15,35,22,44,1,Lancelot,"AQUA14449356,AQUA17485877,AQUA21050713,AQUA23412989,AQUA26668010,AQUA45651575,AQUA46805644,AQUA55028457,AQUA59095821,AQUA66323005,AQUA73743245,AQUA77412444,AQUA77840462,AQUA78034572,AQUA82742374,AQUA85995731,AQUA95357219,AQUA96119752,BLUE06918450,BLUE11239771,BLUE11862821,BLUE13231989,BLUE15458966,BLUE16489518,BLUE24485964,BLUE38909793,BLUE42628632,BLUE43173663,BLUE52051759,BLUE54411592,BLUE55222155,BLUE60697221,BLUE63057541,BLUE77212967,BLUE78399117,BLUE80956752,BLUE81904352,BLUE96865025,GOLD09900205,GOLD12767922,GOLD13539669,GOLD20926085,GOLD30224114,GOLD30536089,GOLD37811976,GOLD48175977,GOLD56701620,GOLD66591586,GOLD70812959,GOLD77723929,GOLD81625154,GREY02916465,GREY04793619,GREY18681030,GREY22982864,GREY23346639,GREY26074561,GREY33749129,GREY44509229,GREY54677890,GREY55217449,GREY60450286,GREY69459441,GREY74475415,GREY74544302,GREY84126299,GREY98514753,GREY98569039,GREY98928648,JADE06240624,JADE09263240,JADE15766163,JADE19138462,JADE25248680,JADE38200010,JADE43465088,JADE43614969,JADE44965523,JADE55675143,JADE57238921,JADE63678165,JADE66940842,JADE68238125,JADE70100188,JADE72130944,JADE76389524,JADE77048734,JADE81052338,JADE90900226,JADE92838836,JADE95132483,LIME02480584,LIME04321464,LIME10302993,LIME10748665,LIME16843706,LIME23405296,LIME44522207,LIME50904290,LIME51806966,LIME55438048,LIME55546200,LIME69568091,LIME85697241,LIME88132866,LIME89373603,NAVY10815146,NAVY21964521,NAVY22243867,NAVY23883780,NAVY28254962,NAVY47906500,NAVY64954919,NAVY66779966,NAVY68901316,NAVY69586704,NAVY72953637,NAVY73030007,NAVY81867493,NAVY86248674,NAVY88627036,NAVY89983108,NAVY97109746,PINK11132787,PINK14392401,PINK14856235,PINK21489133,PINK29750862,PINK49764176,PINK53256814,PINK53771241,PINK55875256,PINK57514291,PINK59099635,PINK63652353,PINK67127820,PINK84325976,PINK87249304,PINK89855790,PLUM10299955,PLUM13092591,PLUM16138250,PLUM17339607,PLUM17728715,PLUM34698223,PLUM38999809,PLUM42527644,PLUM48014426,PLUM49664089,PLUM52982417,PLUM61034998,PLUM66027615,PLUM77550865,PLUM81795171,PLUM86796289,ROSE06446398,ROSE09013396,ROSE12735009,ROSE13904207,ROSE14530503,ROSE43929452,ROSE52500244,ROSE83366291,ROSE87010894,ROSE87785826,ROSE89908661,ROSE93869090,ROSE95058680,RUBY15133360,RUBY19265965,RUBY19352943,RUBY24243259,RUBY24477932,RUBY34632579,RUBY41934478,RUBY51114142,RUBY58479570,RUBY60949570,RUBY63712814,RUBY78367250,RUBY81833570,RUBY84934626,RUBY97128302,RUBY97585712,TEAL03985508,TEAL10114105,TEAL11141537,TEAL19973790,TEAL26086928,TEAL26820404,TEAL30714726,TEAL44394091,TEAL48835158,TEAL68044688,TEAL70282797,TEAL75448085,TEAL81346007,TEAL84696618,TEAL88953728,TEAL89177936",1954
10-Sep-2014,24,31,13,16,18,43,2,3,Lancelot,"AQUA13506805,AQUA24843413,AQUA25257685,AQUA26977664,AQUA30922193,AQUA41795473,AQUA48672571,AQUA53112553,AQUA61470680,AQUA78553195,AQUA83435200,BLUE36054160,BLUE36495684,BLUE41665364,BLUE53046510,BLUE54523548,BLUE77206061,BLUE79076262,BLUE88061973,BLUE89759126,BLUE90828256,BLUE92737742,BLUE95247776,GOLD00949020,GOLD10006149,GOLD17564831,GOLD18075012,GOLD34556992,GOLD44422903,GOLD49707184,GOLD52251655,GOLD53359135,GOLD59003626,GOLD65837859,GOLD84631117,GOLD92693662,GOLD92943729,GREY12948527,GREY18757891,GREY22799286,GREY26795922,GREY32171366,GREY45143807,GREY56877403,GREY60163646,JADE15008249,JADE31679060,JADE36984631,JADE41802328,JADE42186781,JADE44707391,JADE69254362,JADE74282651,JADE78249345,JADE88100514,LIME03666447,LIME12090585,LIME13348571,LIME15809207,LIME16506567,LIME16951047,LIME24059270,LIME43823784,LIME51396603,LIME61608553,LIME64094422,LIME65690923,LIME72054612,LIME85665895,LIME96024153,LIME98988435,LIME99927713,NAVY06982331,NAVY11713464,NAVY33278366,NAVY69961561,NAVY75025305,NAVY83788561,NAVY94033063,PINK06159816,PINK13465339,PINK15552113,PINK16730403,PINK29675906,PINK40193518,PINK46836578,PINK53473320,PINK64078625,PINK64488813,PINK64786539,PINK68961229,PINK77239819,PINK88778487,PINK89503814,PINK90117077,PINK90890962,PINK91995566,PLUM01834871,PLUM19589656,PLUM22873952,PLUM24644354,PLUM28089529,PLUM30234644,PLUM33980675,PLUM34064993,PLUM36268114,PLUM57063520,PLUM62340071,PLUM66822826,PLUM71220199,PLUM76750666,PLUM84196526,PLUM95942533,ROSE00543978,ROSE05841915,ROSE12501345,ROSE24004647,ROSE30523218,ROSE48561713,ROSE49767162,ROSE49777462,ROSE50566136,ROSE62380951,ROSE66944843,ROSE68653211,ROSE70333899,ROSE71225378,ROSE72172075,ROSE76923556,ROSE82089053,RUBY18503930,RUBY28222515,RUBY31211460,RUBY37205699,RUBY41914893,RUBY43321667,RUBY55565181,RUBY61780562,RUBY74789148,RUBY85071581,TEAL00073271,TEAL08095398,TEAL13552334,TEAL23123303,TEAL56735876,TEAL66890088,TEAL73074325,TEAL75312610,TEAL79756483,TEAL83156885",1953
06-Sep-2014,11,37,32,48,29,40,14,4,Guinevere,"AQUA62545409,AQUA66714562,AQUA71841242,AQUA78643445,AQUA85784850,AQUA96035578,AQUA96688962,BLUE09436983,BLUE26059619,BLUE27998762,BLUE35595914,BLUE37813946,BLUE49256902,BLUE65366370,BLUE67842319,BLUE72681703,BLUE80978779,BLUE81036160,BLUE81475088,BLUE92593971,GOLD08634411,GOLD34441965,GOLD58807877,GOLD60934035,GOLD61272038,GOLD86837769,GOLD93174020,GREY21294564,GREY30304557,GREY38215388,GREY49835827,GREY66230934,GREY83176939,GREY90180410,GREY98915392,JADE02635262,JADE03068335,JADE08384973,JADE08592350,JADE27402315,JADE39550071,JADE83675182,JADE96151405,LIME05686114,LIME08120091,LIME11114874,LIME20590416,LIME26511857,LIME97590446,NAVY43630231,NAVY54477104,NAVY73153846,NAVY85079298,NAVY94986327,PINK30171984,PINK49237227,PINK50080765,PINK63951326,PINK91840730,PLUM03297991,PLUM04035764,PLUM04704725,PLUM07677062,PLUM12278440,PLUM21069860,PLUM41104381,PLUM68379138,PLUM96798361,ROSE06153096,ROSE45329228,ROSE45820465,ROSE48484874,ROSE60275602,ROSE69464788,ROSE83181426,ROSE88437590,RUBY04770661,RUBY07008923,RUBY11540008,RUBY15234989,RUBY17357657,RUBY21489315,RUBY25171443,RUBY42943477,RUBY46444977,RUBY47972133,RUBY65577391,RUBY91453722,RUBY98402032,TEAL01818704,TEAL03300663,TEAL08269336,TEAL18281021,TEAL24708668,TEAL36346669,TEAL39698765,TEAL60517475,TEAL82546119,TEAL82951947,TEAL94811872",1952
03-Sep-2014,35,22,27,23,12,34,25,3,Guinevere,"BLUE39802190,BLUE50143339,GOLD08406003,GOLD16932800,GOLD24547489,GOLD35252381,GOLD50054856,GOLD59774818,GOLD96320538,GREY07043478,GREY08144900,GREY33709535,GREY73871067,JADE23275585,JADE43393638,JADE52749017,JADE58617664,JADE60416059,LIME15405047,LIME82158857,NAVY38841007,NAVY60333283,NAVY64483163,NAVY77032937,NAVY79977653,PINK07014292,PINK16214095,PINK23144391,PINK37398147,PINK56298069,PINK57311296,PINK78512371,PLUM19091694,PLUM92506674,ROSE24527987,ROSE71442325,ROSE80227858,ROSE95492090,RUBY43879505,RUBY48251258,RUBY49078353,RUBY73819723,RUBY78842503,TEAL02552898,TEAL25931247,TEAL43791157,TEAL44059309,TEAL59728153,TEAL65341211,TEAL80488766",1951
30-Aug-2014,1,20,35,46,19,30,40,4,Guinevere,"AQUA19097444,AQUA43188766,AQUA49556282,AQUA51389151,AQUA57267110,BLUE12811521,BLUE15966728,BLUE22050447,BLUE30668610,BLUE73044115,BLUE73300464,BLUE80482304,BLUE93153784,GOLD00161137,GOLD22108697,GOLD29277918,GOLD43598673,GOLD46324988,GOLD67890548,GOLD84569816,GOLD84676194,GOLD88803759,GOLD95419137,GOLD96086800,GREY06961156,GREY08442293,GREY16032655,GREY30684409,GREY54652326,GREY55701122,GREY65301329,GREY70148591,GREY80017299,GREY81222215,GREY84418394,GREY85619490,JADE01686567,JADE05822928,JADE06861999,JADE15881848,JADE17369266,JADE35920571,JADE38270975,JADE42055360,JADE79430857,JADE81692517,JADE96495067,LIME05417256,LIME12865614,LIME33646188,LIME39131624,LIME56726052,LIME63478247,LIME66542173,LIME98590283,NAVY20973719,NAVY27680115,NAVY43131279,NAVY46986651,NAVY53421315,NAVY70549204,NAVY83571999,NAVY84387237,NAVY96018644,PINK15368762,PINK54486753,PINK60236964,PINK65974839,PINK73038697,PINK90223331,PINK94918180,PLUM38968896,PLUM57465435,PLUM82143049,PLUM88298480,PLUM95550327,PLUM95844167,ROSE02190410,ROSE16399100,ROSE20203206,ROSE20719140,ROSE25141330,ROSE55622873,ROSE73694960,ROSE76147057,ROSE79022565,ROSE81239750,ROSE97542225,ROSE99218101,RUBY05984174,RUBY12915845,RUBY15464153,RUBY19211490,RUBY19692732,RUBY29814735,RUBY47741632,TEAL20944988,TEAL36552409,TEAL45349523,TEAL92322655",1950
27-Aug-2014,17,29,5,49,37,36,2,1,Guinevere,"AQUA14412284,AQUA17684548,AQUA38166940,AQUA41106266,AQUA56534754,AQUA59433167,AQUA73136430,AQUA79693748,BLUE65842529,GOLD49999881,GOLD70908324,GOLD75621264,GOLD96660290,GREY02920032,GREY36201055,GREY40954343,GREY94337781,JADE02258267,JADE03175652,JADE16279348,LIME18973679,LIME31063211,LIME49907990,LIME50900368,LIME79900875,NAVY29980280,NAVY69702378,PINK06163493,PINK14715153,PINK54698668,PINK60576772,PINK61171562,PINK65118737,PLUM05383807,PLUM52833127,PLUM63437088,PLUM81953131,PLUM89663668,PLUM99348978,ROSE06742126,ROSE10733944,ROSE33303631,ROSE58047621,ROSE93899783,RUBY36413676,TEAL11124291,TEAL51090382,TEAL66185566,TEAL76045468,TEAL90950768",1949
23-Aug-2014,11,42,38,7,1,41,45,2,Guinevere,"AQUA20313929,AQUA23623876,AQUA26347877,AQUA31785143,AQUA35516722,AQUA42479085,AQUA44340253,AQUA54785041,AQUA55907814,AQUA60854139,AQUA63941035,AQUA69335216,AQUA70305518,AQUA75728609,AQUA89099662,BLUE12519269,BLUE16191754,BLUE16911758,BLUE40507787,BLUE45402755,BLUE46456268,BLUE48696865,BLUE49625374,BLUE63951102,BLUE70306107,BLUE70859960,BLUE93206066,BLUE97965454,GOLD00685134,GOLD02421086,GOLD16814864,GOLD17457337,GOLD31725865,GOLD40662199,GOLD41349598,GOLD63203280,GOLD69399366,GOLD93485959,GREY03548081,GREY04516517,GREY08049478,GREY25609069,GREY39320244,GREY59950874,GREY72324904,GREY74258085,GREY89362188,GREY94924874,GREY98524801,JADE09646903,JADE10588146,JADE26310186,JADE29709683,JADE51275216,JADE63063846,JADE63132872,JADE80799419,JADE83504289,JADE86858840,JADE93934534,JADE94598252,LIME05144893,LIME34894511,LIME47665874,LIME49827074,LIME56015659,LIME72852273,LIME77438228,LIME79355059,LIME80155758,LIME82069878,LIME86307574,LIME91448574,NAVY10238768,NAVY10622860,NAVY17819890,NAVY24373427,NAVY28234698,NAVY28993387,NAVY40136020,NAVY44674957,NAVY50055756,NAVY52708036,NAVY56032058,NAVY65254747,NAVY72550336,NAVY89288816,NAVY98311170,PINK00249105,PINK04200182,PINK09587379,PINK28472921,PINK36009093,PINK38875991,PINK78374750,PINK84698358,PINK88089058,PINK96026731,PINK99123431,PLUM05864235,PLUM10483935,PLUM33023832,PLUM35619477,PLUM36606400,PLUM37151571,PLUM38630789,PLUM39049080,PLUM39324678,PLUM54497234,PLUM58319614,PLUM81636753,ROSE10236996,ROSE15188974,ROSE29577208,ROSE39190871,ROSE40089757,ROSE42030269,ROSE48374188,RUBY01443336,RUBY06766161,RUBY23037474,RUBY26839332,RUBY35770029,RUBY38450147,RUBY41395102,RUBY66693806,RUBY71777020,RUBY93394706,TEAL04031444,TEAL11594725,TEAL12553015,TEAL12633557,TEAL13227507,TEAL17205621,TEAL18686661,TEAL34572773,TEAL35903915,TEAL39265840,TEAL47086297,TEAL59250800,TEAL67182407,TEAL76372454,TEAL77326382,TEAL80703778,TEAL84543206,TEAL85948489,TEAL90533339,TEAL92159808,TEAL95887506,TEAL99911933",1948
20-Aug-2014,12,24,35,47,15,6,22,4,Lancelot,"AQUA02696577,AQUA19502521,AQUA34966380,AQUA44329585,AQUA52737365,AQUA63290556,AQUA71103379,BLUE01479039,BLUE03983421,BLUE46683082,BLUE49782560,BLUE53452035,BLUE53471274,BLUE55284532,BLUE56107639,BLUE79079694,BLUE83376334,BLUE83595274,BLUE88678744,BLUE95952613,BLUE96024331,GOLD03301408,GOLD20791130,GOLD41794813,GOLD69830649,GOLD73503775,GOLD83754948,GREY02218617,GREY03240579,GREY09917380,GREY17400703,GREY41724752,GREY42745003,GREY60725937,GREY72513095,GREY88190729,GREY91661381,JADE05465018,JADE07298643,JADE13545642,JADE23151965,JADE28944507,JADE42349905,JADE81338497,JADE98460759,LIME23001272,LIME25339998,LIME40188750,LIME50731555,LIME57859839,LIME77443520,LIME78397121,LIME88446161,LIME90926985,NAVY02842227,NAVY12836563,NAVY29531971,NAVY47981242,NAVY79910314,NAVY89796610,PINK01683049,PINK02198675,PINK02216229,PINK17605645,PINK19211910,PINK29522914,PINK41808286,PINK68099499,PINK70638864,PINK96287438,PLUM17563265,PLUM28399987,PLUM40441453,PLUM49602713,PLUM50633435,PLUM71363535,PLUM83494233,ROSE06689403,ROSE18007394,ROSE20494526,ROSE55576857,ROSE63628084,ROSE75574776,RUBY01665260,RUBY25798311,RUBY59376583,RUBY63229835,RUBY88194973,RUBY98226629,TEAL02460680,TEAL09334872,TEAL31838996,TEAL34976690,TEAL35966932,TEAL36819056,TEAL55037110,TEAL57334702,TEAL77986751,TEAL82826460,TEAL98509758",1947
16-Aug-2014,3,36,1,25,33,42,14,1,Guinevere,"AQUA00650730,AQUA25441326,AQUA65743060,AQUA69975665,AQUA73333712,AQUA88742820,BLUE08905329,BLUE20771776,GOLD15585751,GOLD45324107,GOLD79075107,GREY26997664,JADE07453517,JADE11362554,JADE11556110,JADE80562147,JADE97483402,LIME04324441,LIME10316779,LIME14978147,LIME17411487,LIME48376235,LIME62175186,NAVY15514611,NAVY31822762,NAVY42516530,NAVY60518228,PINK14143385,PINK17109983,PINK48784034,PINK63639396,PLUM09913014,PLUM31552010,PLUM31571490,PLUM37018293,PLUM53982311,PLUM62067325,PLUM74163980,PLUM74519345,PLUM83894591,ROSE37564138,ROSE42225341,ROSE60869775,ROSE61161360,RUBY05638426,RUBY13005238,RUBY17839470,RUBY51504021,RUBY75348525,TEAL07266179",1946
13-Aug-2014,11,5,23,9,30,20,45,3,Lancelot,"AQUA20769780,AQUA47710885,AQUA48995141,AQUA60075986,AQUA64796062,BLUE26953195,BLUE67704258,GOLD15823547,GOLD33367643,GOLD33625730,GOLD42539981,GOLD53189511,GREY92548274,JADE41495429,JADE49386373,JADE55523392,JADE91101603,JADE99551418,JADE99733974,LIME07010146,LIME49630454,LIME67903586,LIME95521575,NAVY64721890,NAVY73918121,NAVY84504346,PINK08509893,PINK35785985,PINK85248547,PLUM04675698,PLUM08854931,PLUM14529572,PLUM41473709,PLUM75422643,PLUM95778221,ROSE20332505,ROSE21200565,ROSE26434542,ROSE68828759,RUBY12262646,RUBY44951009,RUBY67005269,RUBY71072482,RUBY83402390,RUBY95229039,RUBY95268965,RUBY97053304,TEAL31524879,TEAL51025114,TEAL69047751",1945
09-Aug-2014,45,47,40,43,36,16,10,4,Lancelot,"AQUA09333631,AQUA11478627,AQUA20730336,AQUA20938169,AQUA29513762,AQUA32842321,AQUA56400722,AQUA75194015,AQUA78504300,BLUE13323611,BLUE17744192,BLUE42817618,BLUE45593236,BLUE49066108,BLUE63956407,GOLD03686025,GOLD19765889,GOLD20161173,GOLD29998267,GOLD42500933,GOLD46745705,GOLD53577750,GOLD56669674,GOLD79376852,GOLD87292244,GREY14906425,GREY15170621,GREY19569607,GREY48379023,GREY51875767,GREY71206402,GREY77510081,JADE05899928,JADE13380855,JADE21463622,JADE25468620,JADE48598560,JADE65390890,JADE77890417,JADE90862210,LIME13596972,LIME46901373,LIME57296172,LIME93622855,NAVY04507622,NAVY16926033,NAVY25067969,NAVY26601378,NAVY33974822,NAVY38613602,NAVY49127270,NAVY56770048,NAVY61725142,NAVY63181548,NAVY68161139,NAVY69941221,NAVY77250319,NAVY88033547,PINK17890201,PINK18908326,PINK40877074,PINK51683474,PINK73773410,PINK80110279,PINK80241612,PINK94803621,PLUM04140767,PLUM13450183,PLUM43123059,PLUM45071501,PLUM85251869,PLUM98844870,ROSE06003061,ROSE09842710,ROSE18786528,ROSE32955226,ROSE35116686,ROSE47536937,ROSE49964056,ROSE62577272,ROSE63859031,ROSE64479560,ROSE65862484,ROSE67522847,ROSE85502884,ROSE86930075,RUBY11269774,RUBY25014928,RUBY36652989,RUBY71350276,TEAL38558834,TEAL39912249,TEAL41667207,TEAL42268317,TEAL68901857,TEAL80443453,TEAL93303614,TEAL97150878,TEAL97340108,TEAL97523544",1944
06-Aug-2014,17,35,21,29,33,46,28,2,Guinevere,"AQUA24202762,AQUA26173512,AQUA27033484,AQUA28037794,AQUA43663840,AQUA55259493,AQUA82894292,BLUE40968504,BLUE46159070,BLUE65730809,BLUE79652422,GOLD59029579,GREY30997195,GREY66645317,GREY91925323,GREY96182600,JADE08847078,JADE44228730,JADE50717435,JADE64924325,JADE85713752,LIME17208187,LIME53829643,LIME61673723,LIME73972953,LIME99042942,NAVY12510441,NAVY19400122,NAVY22564360,PINK06456553,PLUM31242431,PLUM34495478,PLUM46555129,PLUM67031297,PLUM78706689,PLUM81608163,PLUM90682465,ROSE07420623,ROSE99572585,RUBY44308101,RUBY82112293,TEAL03505461,TEAL14878423,TEAL36423654,TEAL50385173,TEAL54576043,TEAL67243641,TEAL70090027,TEAL70417918,TEAL94352367",1943
02-Aug-2014,13,28,37,23,45,42,25,3,Guinevere,"AQUA06134568,AQUA10661273,AQUA34649367,AQUA55067954,AQUA58606876,AQUA84638196,AQUA95898035,BLUE44268285,BLUE45000555,BLUE45927628,BLUE53529760,BLUE54819774,BLUE71265832,BLUE95055903,GOLD23470513,GOLD31117086,GREY05309759,GREY29749588,GREY31107446,GREY49214730,JADE14448391,JADE31545637,JADE45528525,JADE47130147,JADE55017192,JADE60559730,JADE67135533,LIME08547683,LIME24448547,LIME46283224,LIME75923303,NAVY29056214,NAVY70396283,NAVY89300681,NAVY93775134,PINK58116151,PINK82791509,PINK90215177,PLUM52685580,PLUM91545063,ROSE27811441,ROSE40212020,ROSE44840441,ROSE98792996,RUBY30037651,RUBY47867430,RUBY64804383,TEAL31158353,TEAL66780539,TEAL78564239",1942
30-Jul-2014,22,11,42,2,24,5,1,1,Lancelot,"AQUA08104352,AQUA31598283,AQUA89431715,AQUA95371678,BLUE14717738,BLUE64881864,BLUE66026756,BLUE74580431,BLUE74591265,BLUE92610315,GOLD23865597,GOLD33870141,GOLD44167109,GOLD84275071,GOLD97473339,GREY06780668,GREY10413963,JADE00561853,JADE36262632,JADE42523543,JADE59611045,JADE76418892,LIME40999973,LIME43461134,LIME74238121,LIME77920449,LIME86941786,LIME98043078,LIME99303201,NAVY15053775,NAVY15294623,NAVY52583581,NAVY81104560,PINK34153061,PINK40708917,PINK94837312,PLUM10031649,PLUM15048418,PLUM17798326,PLUM29834500,PLUM36239160,PLUM45686587,ROSE02967507,ROSE11126108,RUBY21524048,RUBY33167886,RUBY66941851,RUBY71909008,RUBY77663128,RUBY92694403",1941
26-Jul-2014,8,37,26,35,14,22,11,4,Lancelot,"AQUA19142042,AQUA20185067,AQUA37035214,AQUA58990875,AQUA65566065,BLUE04173434,BLUE29075769,BLUE36702955,BLUE47740420,GOLD17925983,GOLD65585889,GREY19402730,GREY58655603,GREY81455202,GREY97893043,JADE33271759,JADE63644760,JADE94818995,LIME06516244,LIME16202716,LIME41662580,LIME65741021,NAVY79013750,NAVY85521472,NAVY98506053,PINK07716954,PINK40832364,PINK65701841,PINK66805408,PINK70326915,PINK75912369,PLUM36735081,PLUM48186913,PLUM51289861,PLUM60535604,PLUM74040163,ROSE58179233,ROSE62376465,ROSE62861468,ROSE91499402,RUBY00061036,RUBY16521674,RUBY70078496,RUBY98846225,TEAL21670706,TEAL27196049,TEAL29787004,TEAL79846674,TEAL84483013,TEAL88321783",1940
23-Jul-2014,43,30,47,20,14,18,35,2,Guinevere,"AQUA63797055,AQUA72700068,AQUA76714794,BLUE43393856,BLUE46095358,BLUE68219039,BLUE83432266,GOLD02942312,GOLD09878028,GOLD14192836,GOLD54917163,GOLD67089780,GOLD67594024,GOLD69753150,GOLD74756425,GOLD96660572,GREY03090776,GREY08060395,GREY83165658,GREY95495108,JADE37652654,JADE63838734,LIME04384314,LIME05515597,LIME24198521,LIME28021591,LIME94967450,NAVY27129813,NAVY30826827,NAVY66746596,PINK84483736,PLUM00039353,PLUM19651087,PLUM21524008,PLUM74369019,PLUM83842431,PLUM87263638,PLUM99763173,ROSE06479550,ROSE17045951,ROSE35714463,ROSE56030014,ROSE71828170,ROSE94603907,RUBY24644567,RUBY52452933,RUBY56423358,RUBY59005709,TEAL49742482,TEAL55786801",1939
